Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LoginCSRF-1653946498991,1,316,316,316,316,316,316,316,0.000%,3.16456,3.43,0.93
LoginCSRF-1653946498997,1,314,314,314,314,314,314,314,0.000%,3.18471,3.46,0.94
LoginCSRF-1653946499065,2,273,263,284,284,284,263,284,0.000%,7.04225,7.64,2.07
LoginCSRF-1653946499067,1,279,279,279,279,279,279,279,0.000%,3.58423,3.89,1.05
LoginCSRF-1653946499081,2,286,272,300,300,300,272,300,0.000%,6.66667,7.23,1.96
LoginCSRF-1653946499072,1,282,282,282,282,282,282,282,0.000%,3.54610,3.85,1.04
LoginCSRF-1653946499108,1,257,257,257,257,257,257,257,0.000%,3.89105,4.22,1.14
LoginCSRF-1653946499091,1,281,281,281,281,281,281,281,0.000%,3.55872,3.86,1.05
LoginCSRF-1653946499089,1,287,287,287,287,287,287,287,0.000%,3.48432,3.78,1.02
LoginCSRF-1653946499130,1,252,252,252,252,252,252,252,0.000%,3.96825,4.31,1.17
LoginDashboard-1653946499317,1,92,92,92,92,92,92,92,0.000%,10.86957,33.98,18.79
LoginCSRF-1653946499134,1,286,286,286,286,286,286,286,0.000%,3.49650,3.79,1.03
LoginCSRF-1653946499164,1,280,280,280,280,280,280,280,0.000%,3.57143,3.87,1.05
LoginCSRF-1653946499189,1,268,268,268,268,268,268,268,0.000%,3.73134,4.05,1.10
LoginDashboard-1653946499363,1,98,98,98,98,98,98,98,0.000%,10.20408,31.86,17.64
LoginDashboard-1653946499364,1,98,98,98,98,98,98,98,0.000%,10.20408,31.88,17.64
LoginDashboard-1653946499374,1,105,105,105,105,105,105,105,0.000%,9.52381,29.79,16.46
LoginCSRF-1653946499205,2,304,283,326,326,326,283,326,0.000%,6.13497,6.66,1.80
LoginCSRF-1653946499211,1,283,283,283,283,283,283,283,0.000%,3.53357,3.83,1.04
LoginCSRF-1653946499210,2,289,287,291,291,291,287,291,0.000%,6.87285,7.46,2.02
LoginDashboard-1653946499382,1,117,117,117,117,117,117,117,0.000%,8.54701,26.69,14.77
LoginCSRF-1653946499194,1,307,307,307,307,307,307,307,0.000%,3.25733,3.53,0.96
LoginDashboard-1653946499398,1,115,115,115,115,115,115,115,0.000%,8.69565,27.16,15.03
LoginDashboard-1653946499401,1,111,111,111,111,111,111,111,0.000%,9.00901,28.14,15.57
LoginDashboard-1653946499433,1,116,116,116,116,116,116,116,0.000%,8.62069,26.95,14.90
LoginDashboard-1653946499443,2,117,106,128,128,128,106,128,0.000%,15.62500,48.81,27.01
LoginDashboard-1653946499458,1,105,105,105,105,105,105,105,0.000%,9.52381,29.73,16.46
LoginCSRF-1653946499261,1,303,303,303,303,303,303,303,0.000%,3.30033,3.58,0.97
LoginCSRF-1653946499230,1,347,347,347,347,347,347,347,0.000%,2.88184,3.13,0.85
LoginCSRF-1653946499242,2,336,335,337,337,337,335,337,0.000%,5.93472,6.44,1.74
LoginCSRF-1653946499232,1,351,351,351,351,351,351,351,0.000%,2.84900,3.09,0.84
LoginDashboard-1653946499465,1,123,123,123,123,123,123,123,0.000%,8.13008,25.38,14.05
LoginCSRF-1653946499276,1,315,315,315,315,315,315,315,0.000%,3.17460,3.44,0.93
LoginCSRF-1653946499295,2,347,302,393,393,393,302,393,0.000%,5.08906,5.52,1.50
LoginCSRF-1653946499292,1,308,308,308,308,308,308,308,0.000%,3.24675,3.52,0.95
LoginDashboard-1653946499479,1,122,122,122,122,122,122,122,0.000%,8.19672,25.59,14.17
LoginDashboard-1653946499545,2,98,94,103,103,103,94,103,0.000%,19.41748,60.67,33.56
LoginDashboard-1653946499540,1,104,104,104,104,104,104,104,0.000%,9.61538,30.06,16.62
LoginDashboard-1653946499555,1,105,105,105,105,105,105,105,0.000%,9.52381,29.74,16.46
LoginCSRF-1653946499346,1,332,332,332,332,332,332,332,0.000%,3.01205,3.27,0.89
LoginCSRF-1653946499338,1,340,340,340,340,340,340,340,0.000%,2.94118,3.19,0.86
LoginCSRF-1653946499356,1,322,322,322,322,322,322,322,0.000%,3.10559,3.37,0.91
LoginCSRF-1653946499306,1,378,378,378,378,378,378,378,0.000%,2.64550,2.87,0.78
LoginCSRF-1653946499325,1,364,364,364,364,364,364,364,0.000%,2.74725,2.98,0.81
